Año,Trimestre,Provincia,Accesos por cada 100 hogares
2019,1,La Rioja,50.0
2019,1,Mendoza,38.0
2019,1,Misiones,36.0
2019,1,Neuquén,59.0
2019,1,Río Negro,54.0
2019,1,Salta,40.0
2019,1,San Juan,32.0
2019,1,San Luis,67.0
2019,1,Santa Cruz,24.0
2019,1,Santa Fe,67.0
2019,1,Santiago Del Estero,38.0
2019,1,Tierra Del Fuego,93.0
2019,1,Tucumán,42.0
2018,4,Buenos Aires,65.0
2018,4,Capital Federal,108.0
2018,4,Catamarca,32.0
2018,4,Chaco,33.0
2018,4,Chubut,43.0
2018,4,Córdoba,65.0
2018,4,Corrientes,35.0
2018,4,Entre Ríos,54.0
2018,4,Formosa,30.0
2018,4,Jujuy,47.0
2018,4,La Pampa,73.0
2018,4,La Rioja,50.0
2018,4,Mendoza,38.0
2018,4,Misiones,34.0
2018,4,Neuquén,59.0
2018,4,Río Negro,52.0
2018,4,Salta,40.0
2018,4,San Juan,32.0
2018,4,San Luis,68.0
2018,4,Santa Cruz,24.0
2018,4,Santa Fe,66.0
2018,4,Santiago Del Estero,37.0
2018,4,Tierra Del Fuego,94.0
2018,4,Tucumán,42.0
2018,3,Buenos Aires,64.0
2018,3,Capital Federal,108.0
2018,3,Catamarca,33.0
2018,3,Chaco,32.0
2018,3,Chubut,56.0
2018,3,Córdoba,64.0
2018,3,Corrientes,34.0
2018,3,Entre Ríos,50.0
2018,3,Formosa,30.0
2018,3,Jujuy,23.0
2018,3,La Pampa,72.0
2018,3,La Rioja,51.0
2018,3,Mendoza,38.0
2018,3,Misiones,32.0
2018,3,Neuquén,60.0
2018,3,Río Negro,51.0
2018,3,Salta,39.0
2018,3,San Juan,33.0
2018,3,San Luis,52.0
2018,3,Santa Cruz,33.0
2018,3,Santa Fe,63.0
2018,3,Santiago Del Estero,36.0
2018,3,Tierra Del Fuego,93.0
2018,3,Tucumán,42.0
2018,2,Buenos Aires,63.0
2018,2,Capital Federal,107.0
